,T7,F8,Cz,P4
2000,40.64897155761719,-14.492112159729006,115.7181167602539,215.781005859375
2001,55.03262710571289,-3.59778380393982,123.73271942138672,231.3689117431641
2002,41.09775924682617,-32.25289535522461,123.2652359008789,217.811767578125
2003,21.575483322143555,-19.660654067993164,110.560791015625,201.89476013183597
2004,40.604095458984375,-13.785271644592285,113.8332061767578,210.79571533203125
2005,55.21588134765625,-11.978899955749512,129.552001953125,224.9774169921875
2006,40.27872085571289,-13.800230979919435,119.77590942382812,216.6860656738281
2007,21.93077278137207,-32.11452102661133,110.40371704101562,202.91949462890625
2008,36.86793518066406,-10.785871505737305,117.86107635498048,214.98814392089844
2009,59.05302047729492,-2.7114274501800537,126.69097900390624,230.9201202392578
2010,47.13208770751953,-20.199199676513672,124.42459869384766,220.9121551513672
2011,22.85265922546387,-18.90145492553711,112.11285400390624,198.54754638671875
2012,34.44635009765625,-7.562077522277832,122.1993637084961,210.0552215576172
2013,47.61453628540039,11.563770294189453,137.15896606445312,229.3381500244141
2014,41.06597137451172,0.4375683069229126,123.63922119140624,217.71080017089844
2015,19.037960052490234,-16.990365982055664,107.96156311035156,195.7725372314453
2016,29.19552993774414,-10.71855354309082,119.43557739257812,210.55636596679688
2017,57.86934280395508,-3.926894903182984,138.85687255859378,232.85739135742188
2018,41.40630340576172,-4.768372535705566,126.27584838867188,218.26803588867188
2019,26.82069206237793,-26.90110015869141,118.11538696289062,204.9278106689453
2020,31.00564002990723,0.6208233833312988,118.50434112548828,213.37625122070312
2021,51.01410675048828,-0.5235859751701355,136.37358093261722,235.52394104003903
2022,36.15174102783203,-25.53603744506836,126.08511352539062,230.3740997314453
2023,18.237621307373047,-12.132235527038574,112.29236602783205,207.7701416015625
2024,31.734920501708984,-9.559184074401855,121.08113098144531,221.8059844970703
2025,52.55120468139648,7.861269474029541,133.71450805664062,236.15223693847656
2026,35.52717971801758,-8.829903602600098,124.88835144042969,225.90118408203125
2027,19.46430969238281,-26.422393798828125,115.4413604736328,210.32449340820312
2028,33.799346923828125,-17.450372695922848,117.81246185302734,215.74734497070312
2029,51.31329727172852,1.4099422693252563,130.54307556152344,232.0794982910156
2030,39.9365234375,-16.919307708740234,122.86880493164062,217.987548828125
2031,29.09829139709473,-32.12948226928711,115.60965728759766,210.64987182617188
2032,36.525733947753906,-21.97565269470215,121.81040954589844,221.2637023925781
2033,50.30352401733398,-3.2798922061920166,127.80547332763672,233.8634185791016
2034,33.97138214111328,-16.818330764770508,119.08402252197266,219.5994415283203
2035,29.28154754638672,-51.53582000732422,117.86107635498048,211.3342742919922
2036,35.11952972412109,-14.634228706359865,120.47152709960938,219.9809112548828
